Date,Price,Open,High,Low,Change %
8-Aug-18,1.1611,1.1598,1.1629,1.1571,0.10%
7-Aug-18,1.1599,1.1555,1.161,1.1547,0.39%
6-Aug-18,1.1554,1.1571,1.1574,1.1527,-0.11%
3-Aug-18,1.1567,1.1583,1.1611,1.1559,-0.15%
2-Aug-18,1.1584,1.166,1.1669,1.1582,-0.65%
1-Aug-18,1.166,1.1691,1.1701,1.1656,-0.27%
31-Jul-18,1.1691,1.1706,1.1745,1.1682,-0.13%
30-Jul-18,1.1706,1.166,1.1721,1.1648,0.41%
27-Jul-18,1.1658,1.1643,1.1665,1.1621,0.13%
26-Jul-18,1.1643,1.1728,1.1744,1.1639,-0.72%
25-Jul-18,1.1728,1.1684,1.1739,1.1663,0.36%
24-Jul-18,1.1686,1.1692,1.1719,1.1654,-0.05%
23-Jul-18,1.1692,1.173,1.1752,1.1682,-0.24%
20-Jul-18,1.172,1.1644,1.174,1.1626,0.66%
19-Jul-18,1.1643,1.1639,1.168,1.1574,0.03%
18-Jul-18,1.1639,1.166,1.1665,1.1601,-0.19%
17-Jul-18,1.1661,1.1711,1.1746,1.165,-0.42%
16-Jul-18,1.171,1.1676,1.1726,1.1674,0.21%
13-Jul-18,1.1685,1.1669,1.1688,1.161,0.11%
12-Jul-18,1.1672,1.1674,1.1697,1.1648,-0.02%
11-Jul-18,1.1674,1.1745,1.176,1.1665,-0.60%
10-Jul-18,1.1744,1.1751,1.1764,1.169,-0.06%
9-Jul-18,1.1751,1.1748,1.1792,1.1731,0.03%
6-Jul-18,1.1747,1.169,1.1769,1.1679,0.48%
5-Jul-18,1.1691,1.1655,1.1722,1.1649,0.30%
4-Jul-18,1.1656,1.1658,1.1684,1.1629,-0.01%
3-Jul-18,1.1657,1.1641,1.1675,1.1621,0.14%
2-Jul-18,1.1641,1.1651,1.1699,1.159,-0.38%
29-Jun-18,1.1685,1.1569,1.1692,1.1558,1.00%
28-Jun-18,1.1569,1.1555,1.1602,1.1527,0.13%
