day,open,close
840,3.200000,3.250000
841,3.250000,3.260000
842,3.280000,3.270000
843,3.270000,3.250000
844,3.280000,3.230000
845,3.240000,3.190000
846,3.170000,3.150000
847,3.140000,3.170000
848,3.190000,3.190000
849,3.190000,3.260000
850,3.260000,3.240000
851,3.240000,3.230000
852,3.270000,3.230000
853,3.220000,3.240000
854,3.240000,3.250000
855,3.250000,3.310000
856,3.300000,3.470000
857,3.470000,3.440000
858,3.380000,3.480000
859,3.500000,3.440000
860,3.500000,3.500000
861,3.500000,3.520000
862,3.520000,3.490000
863,3.500000,3.490000
864,3.490000,3.460000
865,3.460000,3.390000
866,3.350000,3.390000
867,3.410000,3.460000
868,3.480000,3.450000
869,3.450000,3.440000
870,3.460000,3.480000
871,3.430000,3.420000
872,3.470000,3.440000
873,3.430000,3.450000
874,3.470000,3.420000
875,3.420000,3.400000
876,3.400000,3.460000
877,3.490000,3.430000
878,3.450000,3.340000
879,3.350000,3.350000
880,3.380000,3.410000
881,3.440000,3.420000
882,3.410000,3.460000
883,3.450000,3.430000
884,3.450000,3.400000
885,3.390000,3.370000
886,3.410000,3.340000
887,3.330000,3.310000
888,3.320000,3.340000
889,3.310000,3.290000
890,3.310000,3.330000
891,3.330000,3.340000
892,3.340000,3.410000
893,3.400000,3.380000
894,3.350000,3.430000
895,3.380000,3.410000
896,3.390000,3.400000
897,3.430000,3.440000
898,3.440000,3.440000
899,3.470000,3.560000
900,3.560000,3.570000
901,3.520000,3.600000
902,3.580000,3.600000
903,3.620000,3.570000
904,3.570000,3.500000
905,3.550000,3.510000
906,3.500000,3.530000
907,3.550000,3.550000
908,3.550000,3.540000
909,3.530000,3.540000
910,3.520000,3.630000
911,3.630000,3.670000
912,3.700000,3.560000
913,3.590000,3.650000
914,3.660000,3.730000
915,3.700000,3.730000
916,3.750000,3.720000
917,3.730000,3.630000
918,3.640000,3.750000
919,3.720000,3.760000
920,3.760000,3.820000
921,3.820000,3.860000
922,3.860000,3.890000
923,3.830000,3.850000
924,3.920000,4.060000
925,4.060000,4.050000
926,4.050000,4.050000
927,4.050000,3.960000
928,3.990000,3.940000
929,3.870000,4.000000
930,4.000000,4.180000
931,4.190000,4.130000
932,4.150000,4.130000
933,4.200000,4.290000
934,4.240000,4.200000
935,4.180000,4.180000
936,4.180000,4.200000
937,4.220000,4.200000
938,4.190000,4.210000
939,4.200000,4.130000
940,4.120000,4.090000
941,4.090000,4.150000
942,4.060000,4.130000
943,4.140000,4.140000
944,4.110000,4.140000
945,4.130000,4.150000
946,4.140000,4.100000
947,4.130000,4.110000
948,4.100000,4.100000
949,4.090000,4.080000
950,4.020000,4.100000
951,4.070000,4.070000
952,4.050000,4.120000
953,4.080000,4.090000
954,4.080000,4.120000
955,4.100000,4.080000
956,4.080000,4.080000
957,4.090000,4.080000
958,4.080000,4.060000
959,4.080000,4.090000
960,4.090000,4.010000
961,4.020000,4.010000
962,4.000000,4.070000
963,4.080000,4.050000
964,4.050000,4.030000
965,4.030000,4.100000
966,4.100000,4.100000
967,4.090000,4.120000
968,4.120000,4.120000
969,4.120000,4.140000
970,4.140000,3.870000
971,3.900000,3.870000
972,3.880000,3.940000
973,3.960000,3.910000
974,3.910000,4.000000
975,4.040000,3.980000
976,3.980000,4.000000
977,4.060000,3.960000
978,3.960000,3.920000
979,3.920000,3.830000
980,3.860000,4.000000
981,4.000000,3.970000
982,4.010000,3.950000
983,3.930000,3.960000
984,3.960000,3.990000
985,3.990000,3.950000
986,3.930000,3.910000
987,3.890000,3.880000
988,3.880000,3.840000
989,3.820000,3.800000
990,3.800000,3.810000
991,3.810000,3.800000
992,3.780000,3.820000
993,3.800000,3.860000
994,3.860000,3.840000
995,3.860000,3.840000
996,3.850000,3.900000
997,3.910000,3.820000
998,3.830000,3.870000
999,3.870000,3.840000
1000,3.840000,3.830000
1001,3.820000,3.840000
1002,3.840000,3.830000
1003,3.830000,3.800000
1004,3.810000,3.810000
1005,3.840000,3.880000
1006,3.860000,3.880000
1007,3.890000,3.900000
1008,3.870000,3.890000
1009,3.900000,3.880000
1010,3.880000,3.880000
1011,3.880000,3.860000
1012,3.850000,3.880000
1013,3.910000,3.980000
1014,4.000000,3.930000
1015,3.980000,3.970000
1016,3.970000,4.060000
1017,4.040000,4.080000
1018,4.080000,4.090000
1019,4.100000,4.110000
1020,4.130000,4.090000
1021,4.090000,4.030000
1022,4.050000,4.010000
1023,4.010000,4.060000
1024,4.050000,4.180000
1025,4.160000,4.120000
1026,4.140000,4.150000
1027,4.060000,4.000000
1028,4.040000,4.190000
1029,4.190000,4.150000
1030,4.180000,4.080000
1031,4.130000,4.050000
1032,4.050000,4.040000
1033,4.060000,4.110000
1034,4.110000,4.090000
1035,4.090000,4.150000
1036,4.150000,4.140000
1037,4.140000,4.180000
1038,4.210000,4.180000
1039,4.180000,4.220000
1040,4.220000,4.160000
1041,4.160000,4.180000
1042,4.190000,4.200000
1043,4.180000,4.120000
1044,4.160000,4.190000
1045,4.150000,4.110000
1046,4.100000,4.160000
1047,4.220000,4.090000
1048,4.110000,4.100000
1049,4.140000,4.090000
1050,4.100000,4.250000
1051,4.240000,4.120000
1052,4.070000,4.080000
1053,4.080000,4.070000
1054,4.030000,4.060000
1055,4.100000,4.100000
1056,4.100000,4.110000
1057,4.120000,4.090000
1058,4.090000,4.150000
1059,4.140000,4.160000
1060,4.170000,4.180000
1061,4.200000,4.180000
1062,4.180000,4.160000
1063,4.170000,4.160000
1064,4.130000,4.160000
1065,4.190000,4.150000
1066,4.140000,4.100000
1067,4.080000,4.090000
1068,4.090000,4.080000
1069,4.090000,4.080000
1070,4.080000,4.080000
1071,4.110000,4.110000
1072,4.110000,4.110000
1073,4.090000,4.100000
1074,4.110000,4.100000
1075,4.120000,4.040000
1076,4.070000,4.140000
1077,4.090000,4.100000
1078,4.120000,4.110000
1079,4.130000,4.110000
1080,4.130000,4.100000
1081,4.130000,4.140000
1082,4.140000,4.210000
1083,4.170000,4.210000
1084,4.220000,4.160000
1085,4.180000,4.200000
1086,4.200000,4.200000
1087,4.170000,4.210000
1088,4.210000,4.190000
1089,4.180000,4.170000
1090,4.200000,4.190000
1091,4.190000,4.180000
1092,4.180000,4.210000
1093,4.220000,4.210000
1094,4.210000,4.290000
1095,4.290000,4.270000
1096,4.190000,4.220000
1097,4.260000,4.240000
1098,4.240000,4.170000
1099,4.170000,4.210000
1100,4.210000,4.310000
1101,4.300000,4.220000
1102,4.200000,4.240000
1103,4.290000,4.230000
1104,4.230000,4.260000
1105,4.250000,4.380000
1106,4.390000,4.320000
1107,4.340000,4.380000
1108,4.380000,4.450000
1109,4.480000,4.420000
1110,4.420000,4.350000
1111,4.400000,4.330000
1112,4.300000,4.310000
1113,4.340000,4.320000
1114,4.320000,4.430000
1115,4.410000,4.440000
1116,4.390000,4.400000
1117,4.410000,4.430000
1118,4.400000,4.390000
1119,4.380000,4.420000
1120,4.410000,4.410000
1121,4.380000,4.420000
1122,4.420000,4.390000
1123,4.400000,4.410000
1124,4.420000,4.450000
1125,4.470000,4.530000
1126,4.480000,4.470000
1127,4.470000,4.550000
1128,4.580000,4.520000
1129,4.520000,4.580000
1130,4.550000,4.590000
1131,4.600000,4.560000
1132,4.530000,4.590000
1133,4.560000,4.630000
1134,4.630000,4.680000
1135,4.680000,4.610000
1136,4.610000,4.680000
1137,4.690000,4.710000
